Unique ID,SKIP resource name,SKIP download link,SKIP Resource Link,asset ,image,document,SKIP FileType,SKIP Location/Source SKIP,state name,SKIP Migrate or Don't Migrate,SKIP Corporate Resource,SKIP Dine Out Resource,SKIP Blogger,SKIP Local Market,SKIP Additional NKH notes ,SKIP CHIEF Response,Title,SKIP 11/8 CHIEF Notes,Resource Description,Corporate Partner Description,Local Market Description,DineOut description,FileType,Category,SKIP CHIEF Notes 11.8,SKIP NKH Approval 11.8
26,,Fundraising Goal Poster 17.5x23.5.zip,,Fundraising Goal Poster 17.5x23.5.zip,,Fundraising Goal Poster 17.5x23.5.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Fundraising Goal Poster 17.5x23.5,Migrate,This ready-to-use poster can help incentivize employees to raise funds for No Kid Hungry.,,,,Design Files,Point of Purchase Assets,request clarification,
27,,No Kid Hungry Impact Cards.pdf,,No Kid Hungry Impact Cards.pdf,,No Kid Hungry Impact Cards.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry Impact Cards,Migrate,Use this to engage employees and customers about your partnership and/or promotion for No Kid Hungry.,,,,PDF,Employee Engagement/Training,Training Materials,
28,,No Kid Hungry Infocard.pdf,,No Kid Hungry Infocard.pdf,,No Kid Hungry Infocard.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry Infocard,Migrate,Use this to engage employees and customers about your partnership and/or promotion for No Kid Hungry,,,,PDF,Employee Engagement/Training,Training Materials,
29,,No Kid Hungry Sticker.pdf,,No Kid Hungry Sticker.pdf,,No Kid Hungry Sticker.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry Sticker,Migrate,No Kid Hungry stickers are a great way to help amplify your partnership and/or promotion for No Kid Hungry.,,,,PDF,Stickers,ok term,
30,,Customizable BOH Poster 2017_ENG.zip,,Customizable BOH Poster 2017_ENG.zip,,Customizable BOH Poster 2017_ENG.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable BOH Poster 2017_ENG,Migrate,This customizable back of house poster can be used to help educate your employees on No Kid Hungry and your partnership,,,,Design Files,Employee Engagement/Training,Training Materials,
31,,Customizable BOH Poster 2017_SPN.zip,,Customizable BOH Poster 2017_SPN.zip,,Customizable BOH Poster 2017_SPN.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable BOH Poster 2017_SPN,Migrate,This customizable back of house poster can be used to help educate your employees on No Kid Hungry and your partnership,,,,Design Files,Employee Engagement/Training,Training Materials,
32,,Standard_DineOut Back-of-House Employee Training Poster-English.zip,,Standard_DineOut Back-of-House Employee Training Poster-English.zip,,Standard_DineOut Back-of-House Employee Training Poster-English.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,,yes,,,,,Standard_DineOut Back-of-House Employee Training Poster-English,Migrate,This customizable back of house poster can be used to help educate your employees on No Kid Hungry and your partnership,,,,Design Files,Employee Engagement/Training,Training Materials,
33,,Standard_DineOut Back-of-House Employee Training Poster-Spanish.zip,,Standard_DineOut Back-of-House Employee Training Poster-Spanish.zip,,Standard_DineOut Back-of-House Employee Training Poster-Spanish.zip,zip,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,,yes,,,,,Standard_DineOut Back-of-House Employee Training Poster-Spanish,Migrate,This customizable back of house poster can be used to help educate your employees on No Kid Hungry and your partnership.,,,,Design Files,Employee Engagement/Training,Training Materials,
34,,Customizable Media Release Form.doc,,Customizable Media Release Form.doc,,Customizable Media Release Form.doc,doc,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Customizable Media Release Form,Migrate,Use this customizable media release form for any media outreach and associated events for No Kid Hungry.,,,,Word document,Media and Event Templates,ok term,
35,,Post-Event Press Release _final.docx,,Post-Event Press Release _final.docx,,Post-Event Press Release _final.docx,docx,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Post-Event Press Release _final,Migrate,This templated post-event press release can be used for any media outreach and associated events you host for No Kid Hungry.,,,,Word document,Media and Event Templates,ok term,
36,,Pre-Event Customer or Guest email template_final.doc,,Pre-Event Customer or Guest email template_final.doc,,Pre-Event Customer or Guest email template_final.doc,doc,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Pre-Event Customer or Guest email template_final,Migrate,Use this template for any media outreach and associated events you host for No Kid Hungry.,,,,Word document,Media and Event Templates,ok term,
37,,Pre-Event Press Release Template_final.docx,,Pre-Event Press Release Template_final.docx,,Pre-Event Press Release Template_final.docx,docx,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Pre-Event Press Release Template_final,Migrate,Use this template for any media outreach and associated events you host for No Kid Hungry.,,,,Word document,Media and Event Templates,ok term,
38,,Dine Out Employee Talking Points and Scripts.pdf,,Dine Out Employee Talking Points and Scripts.pdf,,Dine Out Employee Talking Points and Scripts.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,,yes,,,,,Dine Out Employee Talking Points and Scripts,Migrate,"Train your employees on how to communicate the mission and work of No Kid Hungry, as well as your specific Dine Out promotion. ",,,,PDF,Employee Engagement/Training,Training Materials,
39,,Childhood Hunger in America 2017.pdf,,Childhood Hunger in America 2017.pdf,,Childhood Hunger in America 2017.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Childhood Hunger in America 2017,Migrate,"This fact sheet can be used to educate and raise awareness of No Kid Hungry, for your consumer audience, employees, and leadership. ",,,,PDF,Info and Messaging | Employee Engagement/Training,Training Materials,
40,,Infographic-Breakfast Changes Lives.pdf,,Infographic-Breakfast Changes Lives.pdf,,Infographic-Breakfast Changes Lives.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Infographic-Breakfast Changes Lives,Migrate,"This fact sheet can be used to educate and raise awareness of No Kid Hungry, for your consumer audience, employees, and leadership. ",,,,PDF,Info and Messaging | Employee Engagement/Training,Training Materials,
41,,What Your Dollars Do.pdf,,What Your Dollars Do.pdf,,What Your Dollars Do.pdf,pdf,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,What Your Dollars Do,Migrate,"Use these statements to provide more concrete examples of how the funds you are raising are used to connect kids struggling with hunger to the food they need to lead healthy, active lives. ",,,,PDF,Info and Messaging | Employee Engagement/Training,Training Materials,
42,,NKH_black_cs3.eps,,NKH_black_cs3.eps,,NKH_black_cs3.eps,eps,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Black Logo eps,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Design Files,Logos,ok term,
43,,NKH_black_cs3.png,,NKH_black_cs3.png,NKH_black_cs3.png,,png,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Black Logo png,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Image,Logos,ok term,
44,,NKH_cmyk_cs3.eps,,NKH_cmyk_cs3.eps,,NKH_cmyk_cs3.eps,eps,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Full Color Logo eps,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Design Files,Logos,ok term,
45,,NKH_cmyk_cs3.png,,NKH_cmyk_cs3.png,NKH_cmyk_cs3.png,,png,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Full Color Logo png,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Image,Logos,ok term,
46,,NKH_logo_orange_cs3.eps,,NKH_logo_orange_cs3.eps,,NKH_logo_orange_cs3.eps,eps,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Orange Logo eps,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Design Files,Logos,ok term,
47,,NKH_logo_orange.png,,NKH_logo_orange.png,NKH_logo_orange.png,,png,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,NKH Orange Logo png,Migrate,"Usage of the No Kid Hungry logo or the apple iconography is restricted to No Kid Hungry partners and restaurants participating in our Dine Out For No Kid Hungry fundraising program only. All materials must be approved by your account manager. Before incorporating the No Kid Hungry logo and iconography into your design, please review our branding guidelines.",,,,Image,Logos,ok term,
